airtemp,humidity,pressure,rainfall,tracktemp,winddirection,windspeed,round,year
16.2,52.6,1001.5,True,36.6,280,1.2,5,2018
16.3,51.0,1001.5,True,35.6,189,1.4,5,2018
16.0,52.0,1001.4,True,34.0,293,1.3,5,2018
15.9,52.0,1001.4,True,34.0,342,1.3,5,2018
16.0,52.7,1001.4,True,34.9,177,1.7,5,2018
16.0,52.6,1001.4,True,35.6,271,1.5,5,2018
16.1,52.4,1001.4,True,36.2,279,2.1,5,2018
16.4,51.8,1001.4,False,36.5,263,1.0,5,2018
16.7,51.5,1001.3,False,36.6,37,0.9,5,2018
16.4,50.3,1001.3,False,36.7,283,2.5,5,2018
16.3,50.9,1001.4,False,36.7,52,1.0,5,2018
16.5,51.0,1001.4,True,36.5,20,1.6,5,2018
16.3,51.4,1001.5,True,35.4,12,2.3,5,2018
